datediff,longitude,latitude,Mg
1.00 ,121.6,23.1,5.8
2.47 ,121.5,22.8,6.8
0.00 ,121.7,24.2,5.9
0.03 ,121.9,24.3,5.8
0.83 ,121.9,24.3,5.8
1.03 ,121.5,22.4,5
3.00 ,122.6,24.3,5
0.23 ,122.5,24.7,5.4
0.13 ,122.8,24.3,5.1
0.10 ,121.6,24.1,5.1
0.07 ,122.4,24.9,5
2.40 ,122.5,24.9,6.1
2.30 ,121.6,23.2,5.5
0.83 ,121.6,22.4,5.2
0.23 ,120.2,22.2,5.3
2.10 ,124.8,25.8,5.3
1.50 ,122.5,24.1,5.5
1.30 ,122.6,24.9,5.2
4.37 ,121.8,22.9,5.8
1.40 ,122.4,24,5
2.17 ,122.33,24.23,5.8
4.60 ,121.82,24.03,5.2
1.97 ,121.12,22.32,5.1
0.43 ,121.23,22.88,6.5
0.77 ,122.45,24.15,5.5
0.77 ,124.5,25.6,5
1.17 ,121.6,23.7,5
2.80 ,122.3,24,5.8
3.20 ,121,22.3,5.3
0.03 ,121.7,21.9,5.1
0.10 ,121.8,21.6,5
0.00 ,121.93,24.05,5.9
1.70 ,121.63,21.87,5.1
0.37 ,122.03,24.9,5.3
0.37 ,121.33,21.93,5.6
2.17 ,121.35,22.97,6
0.00 ,122.1,22.5,7.2
0.13 ,122.2,22.5,5.1
0.57 ,120.1,21.6,5.2
0.00 ,122.3,22.6,8
0.13 ,122,23.1,7.6
0.47 ,120.1,21,5.2
0.80 ,120.4,24.5,5
1.00 ,122.2,22.3,5.5
0.37 ,118.3,23,5.1
0.00 ,122.6,24.1,6.1
0.23 ,122.6,24,5.2
0.00 ,121.5,23.7,7.3
0.00 ,121.4,23.5,5.2
0.03 ,121.4,23.5,5.2
0.10 ,121.6,23.8,5.8
0.13 ,122.5,24.1,5.2
0.10 ,121.5,23.9,5.2
0.23 ,121.5,23.1,5.6
0.90 ,121.7,24.7,5.7
0.00 ,120.1,21.1,5.9
0.60 ,120.1,21,5
0.17 ,120.3,21,5.2
2.10 ,121.1,24.3,5.2
0.70 ,122.4,24.7,5.1
0.00 ,121.1,22.3,6.6
0.03 ,121.3,22.4,6.4
0.13 ,121.1,22.4,5
0.77 ,121.1,22.2,5.7
0.60 ,121.2,22.4,5.2
0.07 ,121.6,23.9,5.9
0.37 ,121.6,23.8,6.3
1.03 ,121.6,24,6.2
1.67 ,120.5,23.4,5.4
0.13 ,121.7,24.2,5.1
2.27 ,121.4,22.2,5.7
0.17 ,121.5,24.1,5.1
1.33 ,125.1,25.8,5.2
0.80 ,121,22.7,5
0.73 ,121.4,22.9,5.2
0.20 ,122.2,24.1,5.5
1.50 ,121.4,22.1,5.7
0.67 ,124.8,25.5,6.1
2.80 ,121.7,23.7,5.1
0.73 ,120.9,24.5,5
0.37 ,121.5,23.4,5.3
0.33 ,121.6,23.9,5.1
2.13 ,121.2,22.7,5.2
0.33 ,121.4,22.8,5.1
0.47 ,122.3,25.3,5.4
3.20 ,121.3,22.3,5.2
0.47 ,122.5,24.6,6.4
1.63 ,121.6,24.1,5.3
3.90 ,121.5,23.3,5.6
1.53 ,123.2,25.2,5
0.17 ,122.7,22.8,7
0.10 ,122.8,22.8,5
0.07 ,122.9,22.9,5.4
0.40 ,122.9,23,5
1.30 ,121.3,22.8,5
0.03 ,122.5,22.8,5.2
0.20 ,122.5,22.9,6.4
0.37 ,122.7,22.9,5.3
0.50 ,122.7,22.7,5
0.03 ,123.1,23,5.1
0.80 ,121.6,24,5.4
0.67 ,121.8,24.2,5.5
3.23 ,122.4,22.8,5.4
3.37 ,121.6,24.2,5.2
0.87 ,121.7,23,6.2
0.83 ,121.8,24.3,6
1.63 ,120.6,23.3,5.8
2.97 ,122.2,25.3,5
0.33 ,122.2,24.9,5
1.57 ,121.9,24.4,5.3
0.20 ,125.5,25.8,5.1
1.33 ,124.5,25.6,5.1
0.93 ,120.3,21,5
0.43 ,120,21.1,5.7
0.00 ,120.1,21.2,5
5.83 ,122,23.8,5.2
1.63 ,122.3,24.1,5.8
1.60 ,126.4,26.4,5.6
0.93 ,121.6,22.6,5.5
0.83 ,123.2,24.9,5
0.47 ,121.3,23,5.7
1.20 ,121.6,24.2,5.4
0.27 ,121.8,23.6,5
1.17 ,122.6,24.1,5.8
0.80 ,122.6,24,5.6
0.73 ,121.1,22.7,5.7
0.20 ,122.7,24.6,6.5
0.70 ,122.9,24.8,5
0.10 ,121.8,23.9,5
1.80 ,121.8,24.2,5.2
0.00 ,121.4,22.2,7.3
0.03 ,121.4,22.3,5
0.00 ,121.5,21.9,5.1
0.00 ,121.4,21.9,5.2
0.03 ,121.6,22.2,5
0.03 ,121.4,22,5.4
0.17 ,121.4,22.4,5.3
0.33 ,122,24.3,5.2
0.00 ,121.5,23.6,5.7
0.10 ,120.7,25.3,5.2
0.67 ,121.5,22.3,5.3
0.10 ,122,24.8,6.2
0.17 ,121.8,24,6
0.03 ,121.8,24.2,5.3
0.00 ,121.8,24.3,5
0.03 ,121.8,24.2,5.8
3.40 ,121.8,24.2,5.5
0.00 ,122.1,23.4,7
0.10 ,122.1,23.3,5
0.27 ,121.6,22.9,5
8.47 ,120.5,22,5
2.63 ,120,22.6,5.2
0.03 ,121.4,22.9,6.1
0.67 ,121.4,23.1,5
2.97 ,121.8,23,5
2.97 ,121.34,22.98,5.5
3.30 ,121.56,21.87,5.5
0.77 ,120.65,23.59,5.3
0.67 ,121.8,24.36,5.6
0.23 ,122.31,24.08,5.7
2.53 ,121.79,24.66,5.2
0.77 ,121.79,24.49,6.4
0.30 ,121.45,22.96,5.2
10.90 ,121.38,22.89,6.2
0.87 ,121.56,23.99,6.5
6.67 ,121.57,23.86,5
1.50 ,122.37,24.24,5
0.37 ,121.84,23.92,6.2
1.53 ,122.23,24.89,5
2.37 ,122.58,24.47,6.2
1.97 ,121.03,22.47,5
0.47 ,122.72,24.64,5.7
1.40 ,121.44,24.52,5.9
0.00 ,122.44,24.11,5.4
0.10 ,122.4,24.21,6.3
0.00 ,122.46,24.22,6.9
0.07 ,122.54,24.04,5
2.47 ,122.59,24.01,5.3
0.07 ,122.34,24.08,5.6
0.40 ,122.43,24.1,5.6
0.03 ,122.15,24.19,6.7
0.00 ,122.27,24.08,5
0.07 ,122.24,24.05,6.2
2.47 ,122.36,24.07,5
1.40 ,121.93,24.29,5.1
0.83 ,122.36,24.13,5.1
1.47 ,122.46,25.46,5.5
0.70 ,122.68,24.1,6
0.07 ,122.5,24.8,5.2
0.13 ,122.48,24.97,5.5
0.90 ,122.08,25.01,5
1.13 ,121.9,24.22,5.2
4.47 ,122.47,22.28,5.3
0.83 ,122.28,24.01,5
0.97 ,122.64,24.38,5
0.53 ,122.15,24.7,5.5
1.20 ,122.45,24.11,5.2
0.63 ,123.17,23.56,5.6
3.13 ,122.28,24.79,5.2
0.03 ,122.34,24.59,5.2
1.77 ,122.18,24.66,6.3
0.00 ,121.88,24.5,5.4
1.53 ,121.79,24.17,5
3.83 ,122.13,24.73,5.8
0.10 ,122.94,24.76,5.3
0.00 ,122.96,24.7,5
1.40 ,121.95,24.79,6.4
0.00 ,122.26,24.08,5.8
0.57 ,122.41,23.99,5
0.10 ,122.93,24.83,5
0.10 ,122.86,24.82,5.4
0.00 ,121.61,23.49,5.9
0.00 ,122.91,24.77,5
0.00 ,122.94,24.73,5.4
0.00 ,123,24.84,5.4
0.00 ,122.82,24.58,5.3
0.00 ,122.92,24.75,5.5
0.00 ,122.98,24.8,5.5
0.00 ,122.87,24.78,5
0.00 ,122.78,24.8,5.2
0.00 ,122.9,24.79,5.6
0.00 ,122.86,24.73,5
0.00 ,122.76,24.9,5.1
0.00 ,122.82,24.81,5.4
0.00 ,122.91,24.87,5.5
0.00 ,122.92,24.71,5.5
0.00 ,122.97,24.67,5.4
0.00 ,123.02,24.76,5.9
0.00 ,123.12,24.49,5.4
0.00 ,122.94,24.73,5.3
0.00 ,122.8,24.6,5.1
0.00 ,122.87,24.7,5.2
0.00 ,122.76,24.71,5.9
0.00 ,122.88,24.84,5
0.00 ,122.89,24.81,5.3
0.00 ,122.96,24.7,6.2
0.00 ,122.98,24.88,5.2
0.00 ,122.81,24.61,5.1
0.00 ,122.94,24.59,5.3
0.00 ,122.93,24.74,5
0.00 ,123.21,24.73,5.1
0.00 ,123.16,24.68,5.4
0.00 ,123.19,24.61,5.2
0.00 ,123.43,24.54,5.2
0.00 ,123.09,24.69,5.5
0.03 ,122.86,24.7,5.3
0.00 ,123.23,24.56,5
0.00 ,123.15,24.7,5.5
0.00 ,123.39,24.85,5
0.00 ,122.98,24.8,5.2
0.00 ,123.24,24.66,5.1
0.00 ,122.85,24.75,5
0.00 ,122.88,24.74,5.2
0.03 ,123.11,24.83,5.2
0.03 ,122.84,24.9,6
0.00 ,122.84,24.86,5.3
0.07 ,123.21,24.69,5.4
0.80 ,122.86,24.71,5.3
1.00 ,123.3,24.79,5.1
0.00 ,121.69,24.09,6.8
0.10 ,121.61,24.11,5.7
0.03 ,121.73,24.01,5.6
0.00 ,121.71,24.11,5.5
0.40 ,121.69,24.03,5.3
0.03 ,121.64,23.96,5.5
1.80 ,120.99,21.74,5
0.03 ,121.65,24.7,6
0.37 ,122.71,24.83,5.7
3.20 ,121.74,22.33,5.6
0.00 ,121.81,24.02,7.3
0.00 ,121.82,24.23,5.2
0.00 ,122,24.04,5.5
0.00 ,121.72,23.93,6.7
0.00 ,121.67,23.95,5.4
0.00 ,121.84,23.92,6.3
0.00 ,121.77,23.79,5
0.00 ,121.89,23.86,5
0.00 ,121.75,24.05,5.8
0.00 ,121.75,24.04,5.7
0.03 ,121.68,23.92,6.1
0.00 ,121.81,23.82,5.1
0.07 ,121.8,23.83,5.4
0.00 ,121.81,23.94,5.4
0.03 ,122.09,23.98,5
0.37 ,121.88,24.05,5
0.00 ,122.7,24.73,5
0.13 ,121.95,23.95,5.4
0.60 ,122.24,24.89,5.2
0.27 ,121.11,24.36,5
0.23 ,122.65,24.53,5
0.87 ,121.78,24.01,5.9
2.33 ,122.54,24.08,5.1
2.03 ,122.09,23.97,5.4
0.50 ,122.26,25.49,5.2
0.53 ,121.62,24.37,5.4
5.27 ,120.87,22.99,5.2
1.90 ,120.8,23.41,5.6
0.63 ,122.53,23.86,5.9
1.17 ,121.82,23.85,5.2
0.17 ,121.63,24.03,5.8
0.43 ,121.3,23.36,5.2
2.30 ,121.86,23.54,5.3
0.60 ,121.53,25.16,5
0.03 ,121.61,23.99,6
0.67 ,121.61,22.62,5
0.57 ,121.41,21.87,5.1
1.63 ,122.44,24.17,5
0.00 ,121.71,21.91,6.2
2.83 ,121.72,21.83,5.8
5.00 ,120.48,24.17,5
1.87 ,121.48,23.5,5.1
0.63 ,121.99,23.12,6.7
0.53 ,122.53,24.11,6.3
0.57 ,121.51,24.19,5
0.67 ,121.98,22.71,5.4
3.10 ,122.56,24.82,5.2
6.07 ,122.15,24.38,5.1
0.03 ,121.85,24.25,5.2
1.20 ,121.83,24.26,6.1
0.67 ,122.05,22.6,5.4
2.07 ,120.85,22.75,5.9
1.03 ,121.77,24.06,5.5
0.00 ,121.64,23.95,6.5
0.03 ,121.69,23.81,5.1
0.00 ,121.63,23.76,7
0.00 ,121.77,23.9,5.1
0.00 ,121.75,23.82,5.9
0.00 ,121.76,23.66,5
0.00 ,121.81,23.7,5.7
0.00 ,121.77,23.82,5.5
0.00 ,121.82,23.68,5.1
0.00 ,121.72,23.86,5.1
0.00 ,121.65,23.77,5.8
0.00 ,121.7,23.82,5.2
0.00 ,121.61,23.71,6.2
0.00 ,121.72,23.82,6.3
0.00 ,121.69,23.82,5
0.00 ,121.71,23.83,5.5
0.00 ,121.65,23.61,5.6
0.00 ,121.68,23.91,5.3
0.00 ,121.72,23.86,5.6
0.03 ,121.7,23.69,5.1
0.10 ,121.69,23.65,5
0.03 ,121.67,23.79,5.6
0.00 ,121.47,23.53,5.2
0.03 ,121.62,23.69,6
0.00 ,121.63,23.69,5.9
0.17 ,121.2,23.66,5.1
0.00 ,121.59,23.78,6.4
0.17 ,121.63,23.86,5.8
0.63 ,121.71,23.82,5.8
0.57 ,121.4,23.7,6
0.67 ,122,24,5
0.23 ,122.1,24.1,5
0.30 ,122,24,5.8
0.17 ,120.3,23,6
0.30 ,120.1,23.2,5
0.00 ,121.8,22.3,6.7
0.00 ,121.4,22,5.4
1.03 ,121.1,22,5.4
5.23 ,122.6,23.9,5
0.40 ,121.5,22.7,5.4
5.17 ,121.2,23,5
1.20 ,123.6,23.5,6
0.03 ,121.7,23.8,6.8
0.10 ,121.9,24.1,5.1
1.17 ,121.1,24.2,5.1
0.00 ,121.5,22.9,5
2.33 ,121.6,23,5.9
0.27 ,122.6,24.4,6
0.60 ,121.6,24.2,5.2
0.53 ,121.9,23.7,6
0.33 ,122.3,24,5.1
0.17 ,122.8,24.1,6.4
2.87 ,121.3,22.8,5.2
0.87 ,121.6,24,5.2
